,name,sport,training_effect,anaerobic_training_effect,start_time,stop_time,elapsed_time,distance,avg_hr,max_hr,calories,avg_cadence,max_cadence,avg_speed,max_speed,ascent,descent,start_lat,start_long,stop_lat,stop_long,start_date,hour,month,week,day_name,day_date,start_minute,start_second,start_microsecond,calpermin,total_time,work_day
51,Treadmill Running,running,2.5,0.0,2023-01-30 12:08:13,2023-01-30 12:20:51.000000,2023-05-04 00:12:26,1.006285803552,162.0,172.0,204,77.0,82.0,4.85415129066467,5.05100125760269,,,,,,,2023-01-30,12,1,5,Monday,30,12,26,0,16.407506702412867,12.433333333333334,Work Day
52,Indoor Rowing,indoor_rowing,1.7,0.0,2023-01-30 12:26:09,2023-01-30 12:43:14.000000,2023-05-04 00:12:17,0.0,135.0,148.0,157,28.0,31.0,0.0,,,,,,,,2023-01-30,12,1,5,Monday,30,12,17,0,12.781546811397558,12.283333333333333,Work Day
53,Rowing 1 on 2 soft,indoor_rowing,2.1,0.0,2023-01-30 20:38:20,2023-01-30 21:01:06.000000,2023-05-04 00:22:39,0.0,137.0,155.0,272,29.0,46.0,0.0,,,,,,,,2023-01-30,20,1,5,Monday,30,22,39,0,12.008830022075056,22.65,Work Day
58,Rowing 1 on 2 soft,indoor_rowing,0.3,0.0,2023-01-31 12:12:47,2023-01-31 12:15:56.000000,2023-05-04 00:03:03,0.0,126.0,131.0,35,27.0,37.0,0.0,,,,,,,,2023-01-31,12,1,5,Tuesday,31,3,3,0,11.475409836065575,3.05,Work Day
57,Treadmill Running,running,2.4,0.0,2023-01-31 11:56:16,2023-01-31 12:08:59.000000,2023-05-04 00:12:30,1.00764660648,158.0,165.0,202,76.0,78.0,4.83401872586632,4.98836732266617,,,,,,,2023-01-31,11,1,5,Tuesday,31,12,30,0,16.16,12.5,Work Day
56,Run,running,2.7,0.0,2023-01-31 11:38:11,2023-01-31 11:54:37.000000,2023-05-04 00:16:17,1.238622708944,157.0,172.0,251,73.0,79.0,4.57900783840179,7.61900378986931,,,,,,,2023-01-31,11,1,5,Tuesday,31,16,17,0,15.414534288638688,16.283333333333335,Work Day
55,Rowing 1 on 2 soft,indoor_rowing,0.6,0.0,2023-01-31 11:26:30,2023-01-31 11:34:47.000000,2023-05-04 00:08:10,0.0,121.0,136.0,85,26.0,42.0,0.0,,,,,,,,2023-01-31,11,1,5,Tuesday,31,8,10,0,10.408163265306124,8.166666666666666,Work Day
54,Delhi Jack,generic,0.0,0.0,2023-01-31 00:16:33,2023-01-31 00:41:46.000000,2023-05-04 00:25:05,0.016957220048,75.0,105.0,74,,57.0,0.0402648462666869,2.44273412906647,,9.8425197,39.1085649468005,-84.6430311352015,39.1086081974208,-84.6430687699467,2023-01-31,0,1,5,Tuesday,31,25,5,0,2.950166112956811,25.083333333333332,Work Day
59,Rowing 1 on 2 soft,indoor_rowing,0.9,0.0,2023-02-01 14:24:58,2023-02-01 14:34:28.000000,2023-05-04 00:09:14,0.0,125.0,143.0,103,28.0,40.0,0.0,,,,,,,,2023-02-01,14,2,5,Wednesday,1,9,14,0,11.155234657039712,9.233333333333333,Off Day
60,Run,running,2.5,0.0,2023-02-01 14:36:20,2023-02-01 14:52:29.000000,2023-05-04 00:15:58,1.174938374656,151.0,168.0,233,72.0,79.0,4.41347483893204,5.05100125760269,,,,,,,2023-02-01,14,2,5,Wednesday,1,15,58,0,14.592901878914406,15.966666666666667,Off Day
61,Treadmill Running,running,2.4,0.0,2023-02-01 14:53:38,2023-02-01 15:07:34.000000,2023-05-04 00:13:51,1.003539342848,156.0,169.0,203,75.0,81.0,4.71098709653473,5.13376829066467,,,,,,,2023-02-01,14,2,5,Wednesday,1,13,51,0,14.657039711191336,13.85,Off Day
62,Rowing 1 on 2 soft,indoor_rowing,0.4,0.0,2023-02-02 12:33:01,2023-02-02 12:42:32.000000,2023-05-04 00:07:04,0.0,114.0,126.0,64,25.0,36.0,0.0,,,,,,,,2023-02-02,12,2,5,Thursday,2,7,4,0,9.056603773584905,7.066666666666666,Off Day
63,Treadmill Running,running,2.9,0.0,2023-02-02 12:45:05,2023-02-02 13:16:05.000000,2023-05-04 00:30:41,2.4343770188,149.0,164.0,446,75.0,78.0,4.77809511253548,4.9458654192009,,,,,,,2023-02-02,12,2,5,Thursday,2,30,41,0,14.535578489951114,30.683333333333334,Off Day
64,Rowing 1 on 2 soft,indoor_rowing,0.2,0.0,2023-02-03 10:33:43,2023-02-03 10:39:17.000000,2023-05-04 00:03:35,0.0,112.0,120.0,32,23.0,30.0,0.0,,,,,,,,2023-02-03,10,2,5,Friday,3,3,35,0,8.930232558139535,3.5833333333333335,Work Day
65,Run,running,2.6,0.0,2023-02-03 10:39:31,2023-02-03 10:56:10.000000,2023-05-04 00:16:19,1.2514415968,154.0,173.0,250,74.0,80.0,4.60137717706871,5.13376829066467,,,,,,,2023-02-03,10,2,5,Friday,3,16,19,0,15.321756894790603,16.316666666666666,Work Day
66,Treadmill Running,running,1.5,0.0,2023-02-03 10:57:59,2023-02-03 11:11:10.000000,2023-05-04 00:06:01,0.462666781808,145.0,156.0,89,74.0,77.0,4.60361448426437,4.90560082293129,,,,,,,2023-02-03,10,2,5,Friday,3,6,1,0,14.79224376731302,6.016666666666667,Work Day
69,Rowing 1 on 2 soft,indoor_rowing,1.4,0.0,2023-02-04 11:35:21,2023-02-04 11:57:24.000000,2023-05-04 00:21:57,0.0,128.0,140.0,242,26.0,35.0,0.0,,,,,,,,2023-02-04,11,2,5,Saturday,4,21,57,0,11.025056947608201,21.95,Work Day
68,Treadmill Running,running,2.7,0.0,2023-02-04 11:10:27,2023-02-04 11:33:38.000000,2023-05-04 00:22:17,1.784105844288,150.0,161.0,337,75.0,78.0,4.80270175839806,4.96823475786781,,,,,,,2023-02-04,11,2,5,Saturday,4,22,17,0,15.123410620792818,22.283333333333335,Work Day
