day,hr_avg,hr_min,hr_max,rhr,inactive_hr,weight,intensity_time,moderate_activity_time,vigorous_activity_time,steps,steps_goal_percent,floors,floors_goal_percent,sleep_avg,rem_sleep_avg,stress_avg,calories_avg,calories_bmr_avg,calories_active_avg,calories_consumed_avg,calories_goal,activities,activities_calories,activities_distance,hydration_goal,hydration_avg,sweat_loss_avg,spo2_avg,spo2_min,rr_waking_avg,rr_max,rr_min,bb_max,bb_min
2023-03-14,68.3,42.0,160.0,44.0,53.1,247.0,00:49:00.000000,00:01:00.000000,00:24:00.000000,14220,127.0,0.0,0.0,09:47:00.000000,01:43:00.000000,22.0,3399.0,2626.0,773.0,0.0,2820.0,1,383.0,2.2,100.0,0.0,6.0,94.0,87.0,13.0,24.0,10.0,100.0,16.0
2023-03-13,71.3,38.0,104.0,52.0,63.2,,00:04:00.000000,00:00:00.000000,00:02:00.000000,10392,92.0,0.0,0.0,05:38:00.000000,00:30:00.000000,35.0,2946.0,2627.0,319.0,0.0,2820.0,,,,100.0,,,93.0,85.0,14.0,25.0,10.0,54.0,5.0
2023-03-12,72.1,43.0,166.0,47.0,58.5,,01:12:00.000000,00:08:00.000000,00:32:00.000000,13386,125.0,0.0,0.0,04:03:00.000000,00:31:00.000000,26.0,3327.0,2517.0,810.0,0.0,2820.0,1,478.0,2.7,100.0,0.0,7.0,92.0,83.0,15.0,25.0,10.0,88.0,5.0
2023-03-11,73.1,43.0,108.0,49.0,62.7,,00:00:00.000000,00:00:00.000000,00:00:00.000000,10893,101.0,0.0,0.0,09:24:00.000000,02:11:00.000000,31.0,3643.0,2627.0,1016.0,0.0,2820.0,1,449.0,0.0,100.0,,,93.0,82.0,14.0,22.0,12.0,48.0,5.0
2023-03-10,77.5,47.0,163.0,48.0,61.6,247.2,00:50:00.000000,00:02:00.000000,00:24:00.000000,14290,138.0,0.0,0.0,09:26:00.000000,01:25:00.000000,37.0,3766.0,2627.0,1139.0,0.0,2820.0,1,392.0,2.2,100.0,0.0,6.0,91.0,79.0,13.0,25.0,10.0,70.0,5.0
2023-03-09,69.7,45.0,167.0,48.0,61.1,,01:18:00.000000,00:08:00.000000,00:35:00.000000,8561,79.0,0.0,0.0,08:47:00.000000,01:43:00.000000,34.0,3274.0,2624.0,650.0,,2820.0,2,612.0,3.3,100.0,0.0,9.0,92.0,82.0,14.0,24.0,10.0,89.0,17.0
2023-03-08,68.1,41.0,182.0,46.0,62.0,246.5,02:03:00.000000,00:05:00.000000,00:59:00.000000,10335,95.0,0.0,0.0,06:07:00.000000,00:39:00.000000,25.0,3498.0,2624.0,874.0,1925.0,2820.0,1,814.0,4.4,100.0,0.0,11.0,93.0,81.0,14.0,24.0,11.0,99.0,5.0
2023-03-07,73.6,44.0,174.0,50.0,63.8,245.8,00:43:00.000000,00:03:00.000000,00:20:00.000000,12483,117.0,0.0,0.0,08:22:00.000000,01:45:00.000000,29.0,3591.0,2620.0,971.0,2487.0,2820.0,1,304.0,1.8,100.0,0.0,5.0,93.0,81.0,14.0,20.0,11.0,72.0,6.0
2023-03-06,75.0,44.0,152.0,45.0,55.5,,00:55:00.000000,00:21:00.000000,00:17:00.000000,9208,85.0,0.0,0.0,10:12:00.000000,01:18:00.000000,26.0,3618.0,2631.0,987.0,1347.0,2820.0,2,380.0,0.0,100.0,0.0,7.0,,,13.0,25.0,9.0,97.0,5.0
2023-03-05,78.0,51.0,168.0,52.0,66.7,,00:55:00.000000,00:05:00.000000,00:25:00.000000,12238,118.0,0.0,0.0,04:23:00.000000,00:39:00.000000,37.0,3498.0,2631.0,867.0,0.0,2820.0,1,387.0,2.3,100.0,0.0,9.0,90.0,81.0,14.0,23.0,11.0,30.0,5.0
2023-03-04,78.9,48.0,132.0,52.0,62.0,247.8,00:37:00.000000,00:37:00.000000,00:00:00.000000,10926,107.0,0.0,0.0,09:16:00.000000,01:14:00.000000,36.0,3838.0,2631.0,1207.0,,2820.0,2,355.0,0.0,100.0,0.0,8.0,90.0,73.0,14.0,26.0,10.0,55.0,5.0
2023-03-03,78.9,46.0,171.0,47.0,65.1,,00:41:00.000000,00:01:00.000000,00:20:00.000000,13510,137.0,0.0,0.0,06:40:00.000000,01:14:00.000000,35.0,3964.0,2620.0,1344.0,0.0,2820.0,1,323.0,1.7,100.0,0.0,5.0,94.0,84.0,14.0,22.0,10.0,90.0,5.0
2023-03-02,63.7,48.0,99.0,50.0,64.8,,00:00:00.000000,00:00:00.000000,00:00:00.000000,3068,26.0,0.0,0.0,07:18:00.000000,01:44:00.000000,25.0,2679.0,2620.0,59.0,0.0,2820.0,,,,100.0,,,94.0,82.0,13.0,23.0,10.0,61.0,5.0
2023-03-01,72.7,44.0,176.0,48.0,61.6,,01:11:00.000000,00:03:00.000000,00:34:00.000000,8711,73.0,0.0,0.0,07:14:00.000000,01:13:00.000000,37.0,3315.0,2620.0,695.0,0.0,2820.0,1,529.0,3.1,100.0,0.0,13.0,92.0,83.0,14.0,25.0,10.0,74.0,5.0
2023-02-28,76.2,41.0,165.0,46.0,60.7,,00:55:00.000000,00:07:00.000000,00:24:00.000000,13860,122.0,0.0,0.0,08:59:00.000000,01:40:00.000000,31.0,3717.0,2620.0,1097.0,,2820.0,2,385.0,2.1,100.0,0.0,5.0,93.0,85.0,14.0,22.0,10.0,84.0,9.0
